,Education,Marital_Status,Yearly_Income,Recency_(days),Wines,Fruits,Meat,Fish,Sweets,Gold,Discount_Deal,Web_Deal,Catalog_Deal,Store_Deal,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Client_since_(month),Spending,Total_Deal_nondiscount,Children,total_cmp_accepted,Clusters,HasChildren
637,Bachelor,Couple,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,54,32.2,1005,22,1,0,3,yes
638,PhD,Couple,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,66,7.7,1348,20,0,0,1,no
639,PhD,Divorced,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,55,24.4,1307,19,1,0,3,yes
640,Bachelor,Single,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,50,18.1,486,13,1,1,2,yes
641,Master,Couple,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,not_accepted,accepted,accepted,not_accepted,not_accepted,no_complain,accepted,67,15.1,2252,12,0,2,1,no
642,PhD,Married,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,43,16.7,235,10,2,0,2,yes
643,Bachelor,Couple,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,not_accepted,not_accepted,accepted,accepted,not_accepted,no_complain,accepted,44,23.6,1724,30,0,2,1,no
644,Master,Divorced,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,12.8,235,10,1,0,3,yes
645,Master,Married,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,37,7.4,1092,25,1,0,1,yes
646,Bachelor,Couple,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,56,15.7,599,15,1,0,3,yes
647,Master,Single,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,54,10.6,2008,19,0,1,1,no
648,Bachelor,Couple,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,29,28.5,48,4,1,0,4,yes
649,Bachelor,Married,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,40,25.1,1174,27,1,0,3,yes
650,PhD,Couple,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,64,8.7,67,6,1,0,2,yes
651,Bachelor,Divorced,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,59,34.3,365,13,1,0,2,yes
652,Bachelor,Divorced,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,6.1,6,0,0,0,1,no
653,Bachelor,Couple,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,61,9.1,165,8,1,0,3,yes
654,Undergraduate,Couple,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,56,27.7,210,9,0,0,4,no
655,PhD,Couple,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,67,16.2,1095,25,1,0,1,yes
656,PhD,Single,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,48,14.5,223,8,3,1,2,yes
657,Bachelor,Couple,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,51,30.1,597,18,1,0,3,yes
658,Bachelor,Married,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,29,13.7,22,3,1,0,4,yes
659,Bachelor,Single,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,12.4,1064,23,1,0,3,yes
660,Undergraduate,Married,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,34,30.2,74,5,0,0,4,no
661,Master,Couple,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,58,24.3,26,4,0,0,4,no
662,Bachelor,Married,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,55,24.4,60,4,0,0,4,no
663,PhD,Couple,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,40,19.8,20,3,1,0,2,yes
664,Undergraduate,Single,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,27,15.4,59,5,1,0,4,yes
665,PhD,Married,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,46,16.1,34,4,1,0,4,yes
666,Undergraduate,Married,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,43,17.9,198,9,2,0,3,yes
667,PhD,Married,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,50,17.3,1048,25,1,0,3,yes
668,Master,Single,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,52,16.9,574,16,2,0,3,yes
669,Bachelor,Single,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,25.1,1029,13,1,0,3,yes
670,Bachelor,Married,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,34,12.7,670,18,1,0,1,yes
671,PhD,Single,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,36.1,990,14,1,0,3,yes
672,Bachelor,Married,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,40,7.4,11,3,2,0,4,yes
673,PhD,Married,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,not_accepted,not_accepted,not_accepted,accepted,not_accepted,no_complain,accepted,51,26.4,1241,18,1,1,1,yes
674,Bachelor,Single,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,35,11.1,576,16,0,0,3,no
675,Undergraduate,Married,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,29,18.8,172,8,1,1,2,yes
676,PhD,Single,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,34,12.4,664,19,0,0,3,no
677,Bachelor,Divorced,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,51,14.6,928,21,1,0,3,yes
678,Bachelor,Divorced,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,47,28.4,2074,29,0,0,3,no
679,Undergraduate,Couple,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,32,17.5,467,14,0,0,2,no
680,Bachelor,Couple,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,59,14.4,257,10,1,0,2,yes
681,Bachelor,Couple,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,47,12.6,1146,16,0,0,3,no
682,PhD,Divorced,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,38,18.2,689,18,1,0,3,yes
683,PhD,Single,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,42,25.1,2114,21,0,0,1,no
684,PhD,Married,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,32,33.2,1717,29,0,0,1,no
685,PhD,Couple,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,not_accepted,not_accepted,accepted,accepted,not_accepted,no_complain,not_accepted,25,7.6,1346,20,0,2,1,no
686,PhD,Couple,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,45,15.2,1044,14,0,0,3,no
687,PhD,Divorced,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,not_accepted,accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,54,33.2,493,16,1,1,2,yes
688,Bachelor,Single,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,16.4,957,12,0,0,3,no
689,Master,Couple,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,56,13.0,270,9,1,0,2,yes
690,Undergraduate,Couple,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,62,22.9,29,4,0,0,4,no
691,Master,Single,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,65,19.4,121,6,2,0,2,yes
692,Master,Married,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,53,17.4,126,7,2,0,3,yes
693,Bachelor,Single,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,19,9.3,23,3,0,0,2,no
694,PhD,Single,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,65,17.1,57,5,2,0,4,yes
695,Bachelor,Single,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,53,22.0,636,18,0,0,2,no
696,Bachelor,Couple,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,not_accepted,not_accepted,not_accepted,accepted,not_accepted,no_complain,not_accepted,54,3.9,1004,27,0,1,1,no
697,Bachelor,Divorced,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,41,15.7,734,17,1,0,1,yes
698,Bachelor,Married,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,0.9,614,18,2,0,3,yes
699,Bachelor,Divorced,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,2.0,1453,18,1,1,3,yes
700,Master,Single,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,not_accepted,accepted,accepted,accepted,not_accepted,no_complain,accepted,26,8.2,1621,14,0,3,1,no
701,Master,Divorced,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,46,12.3,187,9,1,0,2,yes
702,Bachelor,Married,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,accepted,not_accepted,accepted,not_accepted,not_accepted,no_complain,not_accepted,28,15.2,1443,20,1,2,1,yes
703,PhD,Divorced,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,6.2,57,5,1,0,2,yes
704,Bachelor,Divorced,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,63,15.1,637,18,1,0,2,yes
705,PhD,Couple,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,66,13.5,948,11,1,1,3,yes
706,Master,Married,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,43,15.2,59,4,1,1,2,yes
707,Bachelor,Married,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,28,13.0,18,3,1,0,4,yes
708,Master,Single,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,49,26.7,903,22,1,0,3,yes
709,Bachelor,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,22.6,112,6,1,0,2,yes
710,Bachelor,Couple,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,61,19.9,596,17,0,0,3,no
711,Bachelor,Couple,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,32,18.0,233,10,1,0,2,yes
712,PhD,Married,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,30.1,1511,10,0,0,1,no
713,Undergraduate,Divorced,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,not_accepted,not_accepted,accepted,not_accepted,not_accepted,no_complain,accepted,54,27.6,1152,16,0,1,1,no
714,Bachelor,Couple,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,14.1,48,5,1,0,4,yes
715,Bachelor,Divorced,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,21.3,1185,25,1,0,3,yes
716,Bachelor,Single,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,56,9.2,21,3,2,0,2,yes
717,Master,Married,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,49,24.7,965,14,1,0,1,yes
718,Bachelor,Married,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,60,23.1,869,20,0,0,3,no
719,PhD,Married,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,30,7.4,16,4,1,0,4,yes
720,Bachelor,Married,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,49,22.9,1947,15,0,0,1,no
721,Bachelor,Married,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,38,36.3,71,7,1,1,4,yes
722,Bachelor,Married,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,48,4.9,65,5,1,0,2,yes
723,Bachelor,Married,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,not_accepted,not_accepted,not_accepted,accepted,not_accepted,no_complain,not_accepted,59,13.4,1380,23,0,1,1,no
724,Master,Divorced,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,38,11.3,1027,22,0,0,1,no
725,Master,Married,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,49,13.9,411,14,3,0,3,yes
726,Bachelor,Couple,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,not_accepted,not_accepted,accepted,not_accepted,not_accepted,no_complain,not_accepted,23,20.8,836,25,0,1,1,no
727,PhD,Divorced,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,65,15.3,11,3,2,0,2,yes
728,PhD,Couple,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,61,30.2,480,15,2,0,3,yes
729,Bachelor,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,13.0,606,16,2,0,3,yes
730,PhD,Divorced,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,66,14.7,284,11,3,0,2,yes
731,Bachelor,Divorced,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,not_accepted,accepted,accepted,accepted,not_accepted,no_complain,not_accepted,41,15.9,1472,11,2,3,1,yes
732,Bachelor,Married,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,not_accepted,accepted,accepted,accepted,not_accepted,no_complain,accepted,65,8.2,1677,25,0,3,1,no
733,Bachelor,Married,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,41,21.4,1335,17,1,0,3,yes
734,Master,Couple,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,62,10.0,334,12,1,0,3,yes
735,Undergraduate,Married,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,25,21.8,18,3,1,0,4,yes
736,Bachelor,Couple,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,45,28.1,1338,18,1,0,3,yes
737,PhD,Single,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,61,21.6,1099,26,1,0,3,yes
738,Master,Couple,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,58,19.2,97,6,2,0,2,yes
739,PhD,Single,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,64,12.1,63,6,3,0,2,yes
740,Undergraduate,Couple,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,24.1,109,7,1,0,2,yes
741,Bachelor,Married,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,not_accepted,not_accepted,not_accepted,accepted,not_accepted,no_complain,not_accepted,50,11.3,902,20,0,1,1,no
742,Bachelor,Couple,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,not_accepted,not_accepted,accepted,not_accepted,not_accepted,no_complain,not_accepted,62,13.0,1574,19,0,1,1,no
743,Undergraduate,Married,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,15.8,38,6,1,0,4,yes
744,Bachelor,Single,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,19,4.0,960,23,0,0,3,no
745,Bachelor,Single,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,44,15.7,28,3,1,1,2,yes
746,Undergraduate,Married,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,60,11.2,1215,27,0,1,3,no
747,PhD,Couple,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,42,12.2,1497,21,0,0,1,no
748,PhD,Couple,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,56,22.0,449,15,1,0,2,yes
749,Bachelor,Single,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,39,12.4,1064,23,1,0,3,yes
750,Bachelor,Married,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,not_accepted,accepted,accepted,accepted,not_accepted,no_complain,accepted,45,22.4,1757,24,0,3,1,no
751,Bachelor,Couple,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,35,11.0,1440,20,0,0,1,no
752,Undergraduate,Couple,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,36,16.2,1006,23,0,0,3,no
753,PhD,Couple,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,42,26.1,1226,18,1,0,3,yes
754,Bachelor,Married,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,50,15.6,1171,15,1,0,3,yes
755,Master,Married,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,35,21.9,92,6,1,0,2,yes
756,PhD,Married,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,55,7.0,99,7,1,0,2,yes
757,Undergraduate,Married,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,33,22.0,66,6,1,0,2,yes
758,Bachelor,Single,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,47,8.4,564,17,2,0,1,yes
759,Master,Married,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,26,14.3,1427,20,0,0,1,no
760,PhD,Single,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,36,15.1,86,5,1,1,4,yes
761,Bachelor,Single,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,62,7.4,833,18,0,0,1,no
762,Bachelor,Married,48726.0,90,138,3,38,4,0,59,3,3,2,4,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,59,20.4,242,9,1,0,2,yes
763,Bachelor,Married,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,37,26.1,1869,16,0,0,1,no
764,Bachelor,Couple,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,27,32.2,1364,28,0,0,3,no
765,Undergraduate,Married,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,49,24.0,183,7,1,0,2,yes
766,Master,Married,62058.0,52,301,7,74,10,0,58,4,6,1,7,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,58,19.5,450,14,1,0,3,yes
767,Bachelor,Married,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,35,22.1,758,19,1,0,1,yes
768,PhD,Married,78939.0,57,794,115,243,150,0,205,1,8,5,6,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,63,12.8,1507,19,0,0,1,no
769,Bachelor,Single,42720.0,9,392,5,91,28,26,112,8,7,3,7,8,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,accepted,49,20.5,654,17,2,0,2,yes
770,Bachelor,Married,33622.0,22,39,1,22,3,4,12,3,2,0,4,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,42,20.9,81,6,2,0,2,yes
771,PhD,Couple,6835.0,76,107,2,12,2,2,12,0,0,0,1,20,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,57,29.0,137,1,1,0,4,yes
772,Bachelor,Couple,41452.0,86,13,0,3,0,0,0,1,1,0,2,7,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,61,19.2,16,3,2,0,2,yes
773,PhD,Single,40760.0,64,70,0,17,0,0,6,2,2,1,3,6,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,49,16.3,93,6,1,0,2,yes
774,PhD,Couple,74250.0,90,680,11,392,75,0,0,1,2,11,4,1,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,56,11.3,1158,17,0,0,1,no
775,Master,Single,51124.0,79,26,1,11,0,1,4,2,1,0,3,3,not_accepted,not_accepted,not_accepted,not_accepted,not_accepted,no_complain,not_accepted,59,12.6,43,4,2,0,2,yes
