,Education,Marital_Status,Yearly_Income,Recency_(days),Wines,Fruits,Meat,Fish,Sweets,Gold,Discount_Deal,Web_Deal,Catalog_Deal,Store_Deal,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Client_since_(month),Spending,Total_Deal_nondiscount,Children,total_cmp_accepted
216,3,3,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,36,0.9,17,3,3,0
217,1,2,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,66,13.7,1615,24,0,2
218,1,3,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,60,16.2,285,10,1,0
219,0,0,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,34,25.9,1135,26,1,0
220,3,0,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,26,1.9,114,6,1,0
221,0,2,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,45,13.7,1047,15,0,0
222,2,0,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,44,8.7,714,20,2,0
223,2,2,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,34,20.3,185,9,1,0
224,0,1,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0,52,29.1,1245,27,1,0
225,0,0,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,36,21.5,189,8,1,0
226,0,0,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,38,26.6,576,14,1,0
227,0,1,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,62,28.0,1103,15,1,0
228,2,2,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,42,29.2,1753,16,0,0
229,2,0,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,28,10.6,17,3,1,0
230,0,3,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1,48,21.7,433,14,2,0
231,3,1,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,52,20.3,1588,13,1,1
232,0,0,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,43,19.8,22,3,1,0
233,0,3,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,63,8.6,19,4,0,0
234,2,2,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0,49,21.6,1117,26,1,0
235,3,2,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,39,15.8,69,6,1,0
236,1,0,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,32,20.9,23,4,1,0
237,2,3,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,56,21.0,605,18,1,0
238,0,3,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0,41,12.3,57,7,1,0
240,0,3,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,46,14.3,2088,21,0,1
241,0,0,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0,56,24.6,1009,14,1,0
242,0,3,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,43,17.3,26,4,1,0
243,0,2,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1,24,13.3,1627,21,0,1
244,0,2,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0,56,28.9,1102,24,1,0
245,2,2,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,50,8.0,17,4,2,0
246,0,2,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1,42,19.7,1690,14,1,3
247,0,2,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,61,16.2,1390,19,1,0
248,2,2,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,26,28.4,2126,19,0,0
249,1,0,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0,45,26.4,1531,21,1,0
250,1,3,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,0,39,15.7,64,5,1,0
251,0,3,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0,29,14.3,26,4,1,0
252,0,1,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1,40,20.2,1112,28,0,4
253,3,0,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,56,27.7,210,9,0,0
254,0,0,75702.0,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0,47,28.5,1148,21,2,0
255,2,3,30899.0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,40,27.0,33,4,1,0
256,2,0,63342.0,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,0,53,26.9,1101,16,1,1
257,0,3,45989.0,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0,50,26.7,322,12,1,0
258,0,3,18701.0,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0,50,21.1,44,6,2,0
259,2,3,40737.0,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,57,16.9,17,3,3,0
260,0,1,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,35,27.1,31,4,1,1
261,2,1,69674.0,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0,46,19.6,845,22,2,0
262,1,2,44159.0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0,44,6.6,275,11,1,0
263,2,2,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,36,25.6,25,3,1,0
264,1,0,43776.0,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1,62,22.3,275,11,2,0
265,1,2,38179.0,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,48,21.9,90,7,2,0
266,0,2,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,51,6.3,1495,18,0,1
267,2,2,38097.0,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,0,1,44,26.9,184,7,2,1
268,0,2,72940.0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,44,18.7,981,12,0,0
269,0,0,22070.0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,44,21.0,67,6,1,0
270,0,3,69267.0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1,61,27.7,1635,12,0,0
271,1,3,31788.0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,0,31,9.5,60,7,1,0
272,2,0,61905.0,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,39,9.1,231,10,1,0
273,0,2,29315.0,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,54,7.0,48,6,2,0
274,0,1,33378.0,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0,51,19.2,99,6,2,0
275,2,0,66313.0,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0,51,15.7,770,21,1,0
276,0,3,60714.0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,1,58,23.8,957,21,0,0
277,1,0,77882.0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,33,8.2,818,11,0,0
278,2,3,69867.0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,1,28,23.2,925,16,0,1
279,1,1,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,46,20.6,908,21,1,0
280,3,2,24480.0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0,33,14.1,102,7,1,0
281,0,0,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,38,26.6,576,14,1,0
282,0,0,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,28.4,317,11,0,0
283,2,0,65640.0,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0,40,12.1,461,14,1,0
284,1,2,44319.0,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0,39,8.6,37,5,2,0
285,0,2,30631.0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0,40,13.0,70,6,1,0
286,0,0,75278.0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0,62,23.4,930,22,0,0
287,1,0,50898.0,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0,58,17.2,859,20,2,0
288,0,3,79946.0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,0,48,0.9,1478,21,0,0
289,1,1,35416.0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0,65,18.9,390,13,0,0
290,3,0,32414.0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,30,21.1,52,4,0,1
291,0,0,38361.0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0,45,12.3,137,7,1,0
292,0,2,82497.0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,34,26.4,1919,18,0,1
293,0,0,16626.0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0,43,11.7,68,6,2,0
294,0,0,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,49,13.1,25,3,2,0
295,1,0,55951.0,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0,62,28.7,1374,20,1,2
296,3,1,35388.0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0,26,18.2,32,4,1,0
297,1,0,42386.0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0,28,23.9,100,6,1,0
298,0,3,68627.0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,32,13.2,825,11,0,0
299,2,1,57912.0,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,49,9.6,916,23,1,1
300,0,1,35246.0,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0,56,8.6,62,7,2,0
301,3,0,58821.0,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0,58,12.9,728,20,1,0
302,2,2,46377.0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0,36,12.1,90,6,1,0
303,0,3,39747.0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0,26,8.7,273,10,1,0
304,0,0,23976.0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0,30,12.3,66,7,1,0
305,1,2,80950.0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0,53,21.4,1213,22,0,1
306,0,3,27038.0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,1,48,27.8,107,6,0,0
307,0,3,77457.0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,67,8.1,1157,17,0,1
308,1,2,64100.0,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,50,14.9,546,17,1,1
309,1,0,42670.0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0,22,20.4,241,10,0,0
310,0,1,12571.0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0,38,11.6,53,7,1,0
311,0,2,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,47,14.3,37,5,3,0
312,0,2,52720.4,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,0,25,22.2,1611,23,0,2
313,1,3,70893.0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0,38,19.2,1508,22,0,0
314,0,2,54198.0,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0,48,12.6,235,10,2,0
315,1,0,28839.0,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,58,1.9,32,5,2,0
316,0,2,40321.0,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,42,17.3,102,6,2,0
317,0,3,66503.0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,29,29.0,401,13,1,0
318,0,2,30833.0,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,63,17.8,28,4,2,0
319,0,3,52720.4,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,0,44,16.5,1052,15,3,2
320,0,2,64795.0,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,43,23.8,680,18,1,0
321,0,2,34421.0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,40,24.1,30,3,1,0
322,2,1,47025.0,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,49,4.0,20,3,2,0
323,2,1,64325.0,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,53,18.2,1307,18,1,0
324,0,3,40464.0,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0,61,14.2,630,18,1,0
325,0,2,62187.0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,57,20.1,1283,17,0,0
326,2,1,14849.0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0,38,23.1,65,6,1,0
327,0,2,27255.0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,30,17.9,37,4,1,0
328,2,2,54432.0,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,64,16.1,38,4,3,0
329,2,3,29999.0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0,28,22.9,160,8,1,0
330,0,3,24072.0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0,31,20.8,23,3,1,0
331,2,3,33996.0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,25,13.9,71,5,0,0
332,2,2,66334.0,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,58,22.2,1161,17,1,0
333,1,2,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,43,15.2,59,4,1,1
334,0,0,22010.0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0,31,18.3,33,5,1,0
335,0,1,62204.0,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0,54,25.1,946,21,2,0
336,0,1,75693.0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,1,46,31.1,1442,21,0,3
337,0,2,30675.0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,42,25.0,62,4,1,0
338,0,0,83003.0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,49,22.3,1674,21,0,1
340,0,3,68655.0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,26,27.1,1538,20,0,0
341,0,1,41411.0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,28,17.9,139,7,0,0
342,2,2,55212.0,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,45,25.6,1182,17,1,2
343,2,0,59292.0,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,64,18.9,507,16,1,0
344,3,0,27190.0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1,41,16.8,18,3,1,1
345,0,1,82623.0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,62,14.9,940,15,0,0
346,0,2,44300.0,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0,49,18.5,42,4,2,0
347,0,1,84835.0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,44,6.6,1190,14,0,0
348,0,3,30372.0,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,43,24.5,44,5,2,0
349,1,2,33181.0,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,38,10.2,16,3,1,1
350,0,2,71113.0,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0,57,12.6,835,22,1,0
351,0,2,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,28,15.2,1443,20,1,2
352,2,3,69759.0,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,48,14.3,1029,15,0,0
353,0,2,72099.0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0,40,26.5,1188,17,0,0
354,2,3,60000.0,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,38,24.6,1277,19,1,0
355,0,3,38643.0,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,0,36,13.2,49,5,2,0
356,0,2,50737.0,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,0,59,14.0,99,6,1,1
357,2,2,68462.0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,45,25.0,1670,14,0,0
358,1,2,65073.0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,0,71,16.6,900,13,0,0
359,2,0,46681.0,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0,66,16.9,425,14,2,0
360,0,2,78618.0,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,57,27.5,2153,21,0,1
361,2,3,62187.0,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,45,9.5,636,18,1,0
362,0,2,28442.0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0,36,10.3,57,7,2,0
363,2,2,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,36,25.6,25,3,1,0
364,0,2,51479.0,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,0,47,24.4,494,15,2,0
365,0,3,54803.0,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,45,28.7,693,17,1,0
366,0,2,79530.0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0,54,19.8,1348,25,0,0
367,0,1,31615.0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0,38,21.8,51,5,1,0
368,0,0,72025.0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,52,25.8,1932,15,0,0
369,2,3,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,39,36.1,990,14,1,0
370,3,2,35684.0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0,30,8.4,30,4,1,0
371,0,2,48178.0,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,0,39,26.5,254,10,2,0
372,1,3,29548.0,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,0,44,16.3,29,4,1,1
373,0,3,63810.0,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0,48,26.0,1371,19,1,1
374,2,3,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,1,42,18.6,73,6,2,0
375,1,3,46098.0,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0,39,28.8,120,7,2,0
376,0,3,22585.0,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,1,44,21.8,81,4,0,1
377,0,3,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,25,24.4,37,4,1,0
378,2,0,66426.0,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,53,23.0,1377,18,1,0
379,0,3,30822.0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,0,45,18.8,51,4,1,0
380,2,2,33581.0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,45,17.2,17,3,2,0
381,0,2,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,29,13.7,22,3,1,0
382,0,3,27421.0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0,60,25.0,324,11,0,0
383,3,2,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,41,28.7,211,9,3,0
384,1,3,36143.0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0,33,9.2,19,3,1,0
385,0,3,10245.0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,43,19.8,41,5,1,0
386,1,0,43795.0,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,1,46,14.7,492,14,1,1
387,0,0,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,54,32.2,1005,22,1,0
388,0,0,38823.0,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,0,65,28.4,114,6,1,0
389,2,1,83664.0,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,46,17.1,1173,16,2,0
390,0,0,90300.0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,35,10.2,1738,19,0,1
391,1,0,62499.0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,35,15.8,222,10,1,0
392,0,3,74293.0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,21,9.0,1127,15,0,0
393,2,2,51012.0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,0,68,20.7,209,9,0,0
394,1,2,70777.0,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0,46,10.3,787,20,1,0
395,2,0,68682.0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,23,19.0,1598,23,0,0
396,0,2,43824.0,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,0,43,27.9,186,8,2,0
397,0,0,15345.0,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,1,30,28.4,47,4,1,0
398,0,3,23442.0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,0,27,24.6,27,4,1,0
399,3,0,14515.0,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1,34,28.0,96,7,1,0
400,3,1,31395.0,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,0,58,21.6,64,6,2,0
401,0,0,75276.0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,49,27.5,1040,22,0,0
402,0,3,42373.0,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,0,40,16.8,163,8,2,0
403,0,0,30507.0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,54,14.1,343,10,0,0
404,2,3,55521.0,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,0,1,59,14.5,446,15,3,1
405,0,2,48006.0,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,49,3.9,41,4,2,0
406,2,3,27213.0,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,1,42,28.4,70,6,1,0
407,2,1,65808.0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,43,7.2,272,11,2,0
408,2,0,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0,40,19.1,46,5,1,0
409,0,2,50437.0,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,51,26.8,490,16,2,0
410,3,3,23616.0,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,1,32,25.8,79,6,1,0
411,0,2,53858.0,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0,38,28.0,915,13,1,0
412,2,2,66465.0,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,59,21.4,1485,32,1,1
413,0,3,46923.0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,0,27,28.7,369,13,1,0
414,0,0,75072.0,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,52,23.6,1073,17,1,0
415,2,2,75865.0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0,71,9.2,1242,18,0,0
416,3,0,19789.0,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,0,39,13.5,78,6,1,1
417,0,0,80134.0,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,0,20,10.7,1378,20,0,4
418,0,3,91065.0,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,1,33,22.6,1474,25,0,2
419,1,2,49505.0,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,43,20.2,751,20,2,0
420,2,2,37401.0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,41,7.0,48,5,1,0
421,0,2,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,7.4,45,5,1,0
422,1,0,18492.0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,32,8.0,10,3,1,0
423,1,2,82584.0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,40,21.1,1435,15,0,2
424,2,2,93027.0,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,0,73,20.9,2119,22,0,1
425,0,2,48686.0,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,61,20.9,20,3,3,0
426,0,2,92910.0,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,28,8.4,1795,26,0,3
427,0,2,75433.0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,25,8.0,1188,17,1,2
428,3,0,10404.0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0,25,9.0,43,5,1,0
429,0,2,61314.0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,46,20.5,1008,22,1,0
430,2,3,84865.0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,1,53,16.1,1688,15,0,4
431,0,2,42387.0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,0,25,26.4,684,16,1,0
432,3,0,67309.0,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,0,47,23.6,1082,24,2,0
433,0,2,75236.0,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,50,13.4,1068,24,1,0
434,0,3,30015.0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,44,11.1,57,5,1,0
